Headings,Subheadings,
2nd Hunter Biden Inquiry Used Giuliani’s Material,"Questions about Hunter Biden’s financial dealings shadowed the campaign of his father, President-elect Joseph R. Biden Jr.",
Pentagon Weighs Sharp Drawback in Support for C.I.A.,"A broad review of the military’s support for the agency is underway, including pulling back personnel and rethinking support for C.I.A. operations around the world.",
Administration Considers Paring Military Support for C.I.A.,"The acting secretary of defense, Christopher C. Miller, is said to support the review as long overdue.",
"Justice Dept., Citing Trump Pardon, Asks Judge to ‘Immediately’ Dismiss Flynn Case|December 1, 2020, Page A20",Michael T. Flynn was pardoned by President Trump last week.,
Trump Corrupted the Presidential Pardon. Biden Must Repair It.,There are clear ways to reform the pardon process to work as the founders intended.,
"A Lame Duck On the Loose And on a Tear| 2020, Page A1",President Trump returning to the White House after the Army-Navy football game this month. He has made few public appearances in the past few weeks.,
Covid Antibody Drugs Go Unused as Need Soars,"While such treatments are promising, their use has been slowed by testing lags, overwhelmed hospitals and a perception the therapies are only for well-connected people.",
Why Antibody Treatments Are Not Being Used,"A box of Eli Lilly’s antibody treatment, bamlanivimab, at Floyd Medical Center in Rome, Ga. Despite worries that the drug would be scarce, the hospital has infused about 100 patients and has not had to turn anyone away.",
Trump Threw the Stimulus a Curveball,"The president threatened to upend a hard-fought compromise, but he may not get what he wants.",
Buried in Pandemic Aid Bill: Billions to Soothe the Richest,"The voluminous coronavirus relief and spending bill that blasted through Congress on Monday includes provisions — good, bad and just plain strange — that few lawmakers got to read.",
"Among Items Buried In 5,593-Page Package: Billions for the Richest","Senator Joe Manchin III, Democrat of West Virginia, at the Capitol last week. He said leadership intentionally waited until the last minute to unveil final proposals to the spending bill.",
Biden Assails Trump Over Handling of Russia Hacking,"“This assault happened on Donald Trump’s watch when he wasn’t watching,” President-elect Joseph R. Biden Jr. said.",
Biden Assails Trump for ‘Irrational Downplaying’ of Hack by Russia,"“The attacker succeeded in catching the federal government off guard and unprepared,” President-elect Joseph R. Biden Jr. said on Tuesday at a news conference in Wilmington, Del.",
Trump Team Disavows Lawyer Who Peddled Conspiracy Theories on Voting,"President Trump’s campaign issued a striking repudiation of Sidney Powell, who had offered up widely derided conspiracy theories as she tried to aid the president’s baseless challenges to vote counts.",
Trump Team Drops Lawyer Voicing Conspiracy Theory,"Sidney Powell, right, speaking next to Rudolph W. Giuliani as members of President Trump&rsquo;s legal team held a news conference on Thursday at the Republican National Committee&rsquo;s headquarters in Washington.",
G20 Summit Closes With Little Progress and Big Gaps Between Trump and Allies,"World leaders committed to some efforts to fight the coronavirus pandemic, but the meeting illustrated the difficulty of carrying out an agenda when the United States is indifferent or hostile to many goals.",
"G20 Meeting Ends, Leaving Wide Gulf Between Trump And Concerns of U.S. Allies",The Group of 20 held a two-day virtual summit meeting hosted by Saudi Arabia. President Trump’s go-it-alone dynamic has hampered conferences of global leaders since he took office.,
Biden Admonishes Trump Administration Over ‘Obstruction’,"“Right now, we just aren’t getting all the information that we need from the outgoing administration in key national security areas,” the president-elect said.",
Biden Complains of ‘Obstruction’ in Transition Effort,President-elect Joseph R. Biden Jr. said that his team had “encountered roadblocks” from political leaders at the Defense Department as well as at the Office of Management and Budget.,
Relief Package Grows as Campaign Issue in Georgia Senate Races,"The two Republicans tried to claim credit for bringing help to Georgians, despite President Trump’s initial waffling over whether to sign the bill. The Democrats said the $600 payments to Americans were too low.",
Relief Bill Becomes Campaign Issue in Georgia Runoff,"The Rev. Raphael Warnock, at the lectern, and Jon Ossoff, the Democratic Senate candidates, campaigned together in Stonecrest, Ga., on Monday.",
Murdoch’s New York Post Blasts President’s Fraud Claims,"With a scathing front-page editorial, the Trump-friendly tabloid joined another of Rupert Murdoch’s papers, The Wall Street Journal, in attacking the president’s attempts to undo the election result.",
New York Post to Trump: ‘End This Dark Charade’,Rupert Murdoch’s New York Post put more distance between itself and President Trump with a blistering front-page editorial on Monday.,
Republicans in Congress Stay Largely in Line Behind Trump,"A few top Republicans called for a smooth transition, but the critical mass of the party remained silent as President Trump continued to try to subvert the popular vote and falsely claim he won re-election.",
Few Voices Breaking From G.O.P.’s Wall of Silence Over Trump’s Defeat,"Senator Lamar Alexander, Republican of Tennessee, said that the Trump administration should cooperate with President-elect Joseph R. Biden Jr.’s transition “if there is any chance whatsoever that Joe Biden will be the next president.”",
Business and World Leaders Move On as Trump Fights to Reverse Election,"President-elect Joseph R. Biden Jr. is seizing the moment, not to aggressively confront the president he defeated, but to act presidential in his stead.",
Global Acceptance of the President-Elect,"President Trump, by far the dominant world figure for the past four years, is increasingly being treated as irrelevant.",
